"filename", "language", "Java", "C++", "Markdown", "Makefile", "XML", "comment", "blank", "total"
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\NC76133G.cpp", "C++", 0, 47, 0, 0, 0, 1, 0, 48
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8627.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8635.cpp", "C++", 0, 23, 0, 0, 0, 31, 0, 54
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8651.cpp", "C++", 0, 19, 0, 0, 0, 19, 0, 38
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8662.cpp", "C++", 0, 29, 0, 0, 0, 0, 0, 29
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8665.cpp", "C++", 0, 28, 0, 0, 0, 22, 2, 52
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8686.cpp", "C++", 0, 23, 0, 0, 0, 22, 1, 46
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8707.cpp", "C++", 0, 22, 0, 0, 0, 0, 0, 22
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8742.cpp", "C++", 0, 34, 0, 0, 0, 89, 0, 123
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8745.cpp", "C++", 0, 38, 0, 0, 0, 66, 0, 104
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week1\P8748.cpp", "C++", 0, 14, 0, 0, 0, 0, 0, 14
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC15188.cpp", "C++", 0, 28, 0, 0, 0, 0, 0, 28
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC15236.cpp", "C++", 0, 25, 0, 0, 0, 0, 0, 25
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC204859.cpp", "C++", 0, 27, 0, 0, 0, 1, 0, 28
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC23050.cpp", "C++", 0, 14, 0, 0, 0, 0, 0, 14
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC231989.cpp", "C++", 0, 33, 0, 0, 0, 0, 0, 33
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC263883.cpp", "C++", 0, 0, 0, 0, 0, 22, 0, 22
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC53079.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC75771A.cpp", "C++", 0, 28, 0, 0, 0, 0, 0, 28
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC75771B.cpp", "C++", 0, 22, 0, 0, 0, 1, 1, 24
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC75771C.cpp", "C++", 0, 40, 0, 0, 0, 0, 0, 40
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC75771D.cpp", "C++", 0, 35, 0, 0, 0, 30, 0, 65
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC75771E.cpp", "C++", 0, 38, 0, 0, 0, 0, 1, 39
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC76609A.cpp", "C++", 0, 15, 0, 0, 0, 0, 0, 15
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC76609B.cpp", "C++", 0, 44, 0, 0, 0, 0, 0, 44
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC76609C.cpp", "C++", 0, 24, 0, 0, 0, 0, 0, 24
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\NC76609D.cpp", "C++", 0, 42, 0, 0, 0, 0, 0, 42
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P1083.cpp", "C++", 0, 48, 0, 0, 0, 0, 1, 49
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P1102.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P1135.cpp", "C++", 0, 40, 0, 0, 0, 1, 0, 41
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P1443.cpp", "C++", 0, 37, 0, 0, 0, 0, 0, 37
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P1719.cpp", "C++", 0, 33, 0, 0, 0, 6, 0, 39
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P2256.cpp", "C++", 0, 40, 0, 0, 0, 0, 0, 40
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P7072.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8599.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 30
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8637.cpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8646.cpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8654.cpp", "C++", 0, 33, 0, 0, 0, 0, 0, 33
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8683.cpp", "C++", 0, 25, 0, 0, 0, 0, 2, 27
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8716.cpp", "C++", 0, 57, 0, 0, 0, 0, 0, 57
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8723.cpp", "C++", 0, 27, 0, 0, 0, 0, 1, 28
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8749.cpp", "C++", 0, 33, 0, 0, 0, 0, 0, 33
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\P8786.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 30
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week2\acwing3498.cpp", "C++", 0, 33, 0, 0, 0, 0, 3, 36
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\ABC344C.cpp", "C++", 0, 45, 0, 0, 0, 0, 2, 47
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\ABC345C.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\B3647.cpp", "C++", 0, 32, 0, 0, 0, 0, 0, 32
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\CF1182A.cpp", "C++", 0, 23, 0, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\CF1359B.cpp", "C++", 0, 40, 0, 0, 0, 0, 0, 40
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\CF1472B.cpp", "C++", 0, 38, 0, 0, 0, 54, 0, 92
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\CF1926B.cpp", "C++", 0, 37, 0, 0, 0, 37, 0, 74
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\CF1946A.cpp", "C++", 0, 28, 0, 0, 0, 0, 0, 28
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\CF1946B.cpp", "C++", 0, 33, 0, 0, 0, 1, 0, 34
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\CF996A.cpp", "C++", 0, 23, 0, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\N-CF1926G.cpp", "C++", 0, 40, 0, 0, 0, 0, 1, 41
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC16588.cpp", "C++", 0, 33, 0, 0, 0, 0, 0, 33
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC17868.cpp", "C++", 0, 16, 0, 0, 0, 0, 0, 16
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC201604.cpp", "C++", 0, 16, 0, 0, 0, 0, 0, 16
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC202511.cpp", "C++", 0, 55, 0, 0, 0, 0, 0, 55
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC205582.cpp", "C++", 0, 32, 0, 0, 0, 0, 0, 32
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC214359.cpp", "C++", 0, 23, 0, 0, 0, 1, 0, 24
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC219038.cpp", "C++", 0, 23, 0, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC221681.cpp", "C++", 0, 36, 0, 0, 0, 1, 0, 37
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC243335.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC247577.cpp", "C++", 0, 27, 0, 0, 0, 60, 0, 87
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC248195.cpp", "C++", 0, 39, 0, 0, 0, 0, 0, 39
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\NC265351.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 18
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P1352.cpp", "C++", 0, 34, 0, 0, 0, 0, 0, 34
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P1496.cpp", "C++", 0, 35, 0, 0, 0, 0, 0, 35
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P1576.cpp", "C++", 0, 48, 0, 0, 0, 0, 0, 48
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P2367.cpp", "C++", 0, 28, 0, 0, 0, 0, 0, 28
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P2880.cpp", "C++", 0, 11, 0, 0, 0, 0, 1, 12
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P2910.cpp", "C++", 0, 32, 0, 0, 0, 0, 0, 32
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P3371-spfa.cpp", "C++", 0, 46, 0, 0, 0, 0, 1, 47
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P3371.cpp", "C++", 0, 45, 0, 0, 0, 0, 1, 46
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P3383.cpp", "C++", 0, 28, 0, 0, 0, 11, 4, 43
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P3865.cpp", "C++", 0, 34, 0, 0, 0, 0, 0, 34
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week3\P4779.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 54
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\BinaryIndexTree.cpp", "C++", 0, 33, 0, 0, 0, 0, 0, 33
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1352C.cpp", "C++", 0, 28, 0, 0, 0, 0, 0, 28
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1850A.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1850B.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1850C.cpp", "C++", 0, 20, 0, 0, 0, 0, 0, 20
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1850D.cpp", "C++", 0, 31, 0, 0, 0, 0, 0, 31
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1850E.cpp", "C++", 0, 25, 0, 0, 0, 13, 0, 38
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1873C.cpp", "C++", 0, 29, 0, 0, 0, 0, 0, 29
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1873D.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1873E.cpp", "C++", 0, 35, 0, 0, 0, 31, 0, 66
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1896B.cpp", "C++", 0, 32, 0, 0, 0, 18, 0, 50
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1909B.cpp", "C++", 0, 34, 0, 0, 0, 14, 0, 48
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1915B.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1915C.cpp", "C++", 0, 25, 0, 0, 0, 0, 0, 25
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1915D.cpp", "C++", 0, 33, 0, 0, 0, 0, 0, 33
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1926C.cpp", "C++", 0, 24, 0, 0, 0, 0, 0, 24
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1942A.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1950A.cpp", "C++", 0, 20, 0, 0, 0, 0, 0, 20
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1950B.cpp", "C++", 0, 25, 0, 0, 0, 46, 1, 72
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1950C.cpp", "C++", 0, 24, 0, 0, 0, 2, 0, 26
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1950D.cpp", "C++", 0, 40, 0, 0, 0, 0, 0, 40
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF1950E.cpp", "C++", 0, 10, 0, 0, 0, 0, 1, 11
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF466A.cpp", "C++", 0, 17, 0, 0, 0, 8, 0, 25
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF492B.cpp", "C++", 0, 24, 0, 0, 0, 0, 0, 24
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\CF939A.cpp", "C++", 0, 28, 0, 0, 0, 0, 0, 28
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\NP5440.cpp", "C++", 0, 35, 0, 0, 0, 0, 1, 36
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\P3371.cpp", "C++", 0, 45, 0, 0, 0, 3, 1, 49
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\P8662_bfs.cpp", "C++", 0, 46, 0, 0, 0, 0, 0, 46
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\P8662_dfs.cpp", "C++", 0, 38, 0, 0, 0, 0, 0, 38
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\hdu1556.cpp", "C++", 0, 39, 0, 0, 0, 41, 0, 80
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\ncuA.cpp", "C++", 0, 23, 0, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\luogu\2024\202403\week4\ncuxA.cpp", "C++", 0, 28, 0, 0, 0, 0, 1, 29
"d:\Coding\Learn\C&CPP\note.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 30
"d:\Coding\Learn\C&CPP\others\Project\Whale Market\.idea\misc.xml", "XML", 0, 0, 0, 0, -7, 0, 0, -7
"d:\Coding\Learn\C&CPP\others\Project\Whale Market\.idea\workspace.xml", "XML", 0, 0, 0, 0, 93, 0, 0, 93
"d:\Coding\Learn\C&CPP\others\Project\Whale Market\Makefile", "Makefile", 0, 0, 0, 0, 0, 13, 1, 14
"d:\Coding\Learn\C&CPP\others\Project\Whale Market\include\User.h", "C++", 0, 1, 0, 0, 0, 0, 0, 1
"d:\Coding\Learn\C&CPP\others\Project\Whale Market\include\tools\User.h", "C++", 0, -10, 0, 0, 0, 0, -3, -13
"d:\Coding\Learn\C&CPP\test.cpp", "C++", 0, 35, 0, 0, 0, 0, -3, 32
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\AutoTypeConversionDemo1.java", "Java", -26, 0, 0, 0, 0, -3, -5, -34
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\Operator.java", "Java", -27, 0, 0, 0, 0, -16, -8, -51
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\ScannerDemo.java", "Java", -12, 0, 0, 0, 0, 0, -2, -14
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\TypeConversionDemo1.java", "Java", -16, 0, 0, 0, 0, -4, -6, -26
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\TypeDemo.java", "Java", -24, 0, 0, 0, 0, 0, -7, -31
"d:\Coding\Learn\Java\basic_syntax\flow control\IfDemo.java", "Java", -14, 0, 0, 0, 0, -8, -5, -27
"d:\Coding\Learn\Java\basic_syntax\flow control\Loop.java", "Java", -20, 0, 0, 0, 0, -9, -4, -33
"d:\Coding\Learn\Java\basic_syntax\flow control\RandomNum2.java", "Java", -22, 0, 0, 0, 0, 0, -2, -24
"d:\Coding\Learn\Java\basic_syntax\flow control\RanomNum.java", "Java", -10, 0, 0, 0, 0, -1, -2, -13
"d:\Coding\Learn\Java\basic_syntax\flow control\SwitchCase.java", "Java", -13, 0, 0, 0, 0, -10, -5, -28
"d:\Coding\Learn\Java\course\Main.java", "Java", 12, 0, 0, 0, 0, 0, 2, 14
"d:\Coding\Learn\Java\course\Main1.java", "Java", 7, 0, 0, 0, 0, 1, 1, 9
"d:\Coding\Learn\Java\course\Main3.java", "Java", 13, 0, 0, 0, 0, 0, 13, 26
"d:\Coding\Learn\Java\course\Main4.java", "Java", 26, 0, 0, 0, 0, 0, 2, 28
"d:\Coding\Learn\Java\course\Main5.java", "Java", 29, 0, 0, 0, 0, 0, 8, 37
"d:\Coding\Learn\Java\course\Main7.java", "Java", 19, 0, 0, 0, 0, 21, 5, 45
"d:\Coding\Learn\Java\course\Main8.java", "Java", 19, 0, 0, 0, 0, 0, 4, 23
"d:\Coding\Learn\Java\course\ys\Main6.java", "Java", 24, 0, 0, 0, 0, 0, 3, 27
"d:\Coding\Learn\Java\examples\UserLogin.java", "Java", 1, 0, 0, 0, 0, 0, -1, 0
"Total", "-", -34, 3963, 30, 0, 86, 907, 23, 4975
