"filename", "language", "Java", "C++", "C", "Markdown", "XML", "comment", "blank", "total"
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1303.cpp", "C++", 0, 33, 0, 0, 0, 0, 0, 33
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1303.java", "Java", 7, 0, 0, 0, 0, 0, 1, 8
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1304.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 30
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1554.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1563.cpp", "C++", 0, 30, 0, 0, 0, 28, 0, 58
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1601.cpp", "C++", 0, 25, 0, 0, 0, 0, 0, 25
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1601.java", "Java", 7, 0, 0, 0, 0, 0, 0, 7
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1614.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1781.cpp", "C++", 0, 22, 0, 0, 0, 0, 0, 22
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1914.cpp", "C++", 0, 14, 0, 0, 0, 0, 1, 15
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1923.cpp", "C++", 0, 12, 0, 0, 0, 47, 0, 59
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P1957.cpp", "C++", 0, 0, 0, 0, 0, 34, 4, 38
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P2415.cpp", "C++", 0, 12, 0, 0, 0, 0, 0, 12
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P2550.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P2615.cpp", "C++", 0, 32, 0, 0, 0, 62, 0, 94
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P2670.cpp", "C++", 0, 36, 0, 0, 0, 0, 0, 36
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P4924.cpp", "C++", 0, 55, 0, 0, 0, 0, 1, 56
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5461.cpp", "C++", 0, 23, 0, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5731.cpp", "C++", 0, 27, 0, 0, 0, 0, 2, 29
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5732.cpp", "C++", 0, 25, 0, 0, 0, 0, 0, 25
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5733.cpp", "C++", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5735.cpp", "C++", 0, 10, 0, 0, 0, 0, 0, 10
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5736.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5737.cpp", "C++", 0, 24, 0, 0, 0, 0, 0, 24
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5738.cpp", "C++", 0, 23, 0, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5739.cpp", "C++", 0, 9, 0, 0, 0, 0, 0, 9
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5740.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5741.cpp", "C++", 0, 28, 0, 0, 0, 0, 1, 29
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5742.cpp", "C++", 0, 21, 0, 0, 0, 0, 0, 21
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5743.cpp", "C++", 0, 8, 0, 0, 0, 4, 1, 13
"d:\Coding\Learn\C&CPP\luogu\202311\week1\P5744.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P1008.cpp", "C++", 0, 27, 0, 0, 0, 2, 0, 29
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P1012.cpp", "C++", 0, 17, 0, 0, 0, 0, 1, 18
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P1068.cpp", "C++", 0, 32, 0, 0, 0, 0, 0, 32
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P1104.cpp", "C++", 0, 34, 0, 0, 0, 0, 0, 34
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P1116.cpp", "C++", 0, 21, 0, 0, 0, 0, 0, 21
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P1152.cpp", "C++", 0, 24, 0, 0, 0, 24, 28, 76
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P1618.cpp", "C++", 0, 32, 0, 0, 0, 21, 0, 53
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P2676.cpp", "C++", 0, 16, 0, 0, 0, 0, 0, 16
"d:\Coding\Learn\C&CPP\luogu\202311\week2\P5143.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\luogu\202311\week3\NP1090.cpp", "C++", 0, 21, 0, 0, 0, 41, 29, 91
"d:\Coding\Learn\C&CPP\luogu\202311\week3\NP1106.cpp", "C++", 0, 33, 0, 0, 0, 0, 1, 34
"d:\Coding\Learn\C&CPP\luogu\202311\week3\NP1149.cpp", "C++", 0, 21, 0, 0, 0, 0, 0, 21
"d:\Coding\Learn\C&CPP\luogu\202311\week3\NP3654.cpp", "C++", 0, 40, 0, 0, 0, 0, 1, 41
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1028.cpp", "C++", 0, 21, 0, 0, 0, 40, 3, 64
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1036.cpp", "C++", 0, 26, 0, 0, 0, 24, 1, 51
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1088.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1157.cpp", "C++", 0, 22, 0, 0, 0, 0, 0, 22
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1223.cpp", "C++", 0, 27, 0, 0, 0, 0, 1, 28
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1225.cpp", "C++", 0, 28, 0, 0, 0, 5, 2, 35
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1225.java", "Java", 21, 0, 0, 0, 0, 0, 1, 22
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1449.cpp", "C++", 0, 29, 0, 0, 0, 41, 0, 70
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1464.cpp", "C++", 0, 21, 0, 0, 0, 0, 0, 21
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1478.cpp", "C++", 0, 25, 0, 0, 0, 0, 0, 25
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1706.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 18
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1803.cpp", "C++", 0, 25, 0, 0, 0, 0, 1, 26
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1824.cpp", "C++", 0, 28, 0, 0, 0, 0, 0, 28
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1873.cpp", "C++", 0, 29, 0, 0, 0, 0, 0, 29
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P1996.cpp", "C++", 0, 24, 0, 0, 0, 36, 4, 64
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P2023.cpp", "C++", 0, 30, 0, 0, 0, 0, 3, 33
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P2249.cpp", "C++", 0, 16, 0, 0, 0, 54, 2, 72
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P3156.cpp", "C++", 0, 16, 0, 0, 0, 0, 0, 16
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P3392.cpp", "C++", 0, 44, 0, 0, 0, 6, 1, 51
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P3613.cpp", "C++", 0, 18, 0, 0, 0, 66, 1, 85
"d:\Coding\Learn\C&CPP\luogu\202311\week3\P3817.cpp", "C++", 0, 17, 0, 0, 0, 0, 0, 17
"d:\Coding\Learn\C&CPP\luogu\202311\week3\Uva673.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\luogu\202311\week4\NP1219.cpp", "C++", 0, 30, 0, 0, 0, 0, 1, 31
"d:\Coding\Learn\C&CPP\luogu\202311\week4\NP1928.cpp", "C++", 0, 22, 0, 0, 0, 30, 0, 52
"d:\Coding\Learn\C&CPP\luogu\202311\week4\NP2392.cpp", "C++", 0, 32, 0, 0, 0, 0, 0, 32
"d:\Coding\Learn\C&CPP\luogu\202311\week4\P1010.cpp", "C++", 0, 26, 0, 0, 0, 0, 2, 28
"d:\Coding\Learn\C&CPP\luogu\202311\week4\P1024.cpp", "C++", 0, 29, 0, 0, 0, 2, 0, 31
"d:\Coding\Learn\C&CPP\luogu\202311\week4\P1678.cpp", "C++", 0, 30, 0, 0, 0, 33, 0, 63
"d:\Coding\Learn\C&CPP\luogu\202311\week4\P2437.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\luogu\202311\week4\shudu.cpp", "C++", 0, 32, 0, 0, 0, 0, 1, 33
"d:\Coding\Learn\C&CPP\note.md", "Markdown", 0, 0, 0, 47, 0, 0, 2, 49
"d:\Coding\Learn\C&CPP\nowcoder\20231117\q1.cpp", "C++", 0, 17, 0, 0, 0, 0, 0, 17
"d:\Coding\Learn\C&CPP\nowcoder\20231124\p2.cpp", "C++", 0, 16, 0, 0, 0, 22, 1, 39
"d:\Coding\Learn\C&CPP\nowcoder\20231124\q1.cpp", "C++", 0, 19, 0, 0, 0, 15, 0, 34
"d:\Coding\Learn\C&CPP\nowcoder\NC16422.cpp", "C++", 0, 38, 0, 0, 0, 0, 0, 38
"d:\Coding\Learn\C&CPP\nowcoder\NC16538.cpp", "C++", 0, 15, 0, 0, 0, 14, 0, 29
"d:\Coding\Learn\C&CPP\nowcoder\NC16749.cpp", "C++", 0, 11, 0, 0, 0, 0, 2, 13
"d:\Coding\Learn\C&CPP\nowcoder\NC50562.cpp", "C++", 0, 31, 0, 0, 0, 0, 1, 32
"d:\Coding\Learn\C&CPP\others\BubbleSort.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 18
"d:\Coding\Learn\C&CPP\others\BuildYourOwnLisp\doge_code.c", "C", 0, 0, 17, 0, 0, 0, 2, 19
"d:\Coding\Learn\C&CPP\others\BuildYourOwnLisp\doge_grammar.c", "C", 0, 0, 19, 0, 0, 0, 2, 21
"d:\Coding\Learn\C&CPP\others\BuildYourOwnLisp\interactive.c", "C", 0, 0, 12, 0, 0, 0, 3, 15
"d:\Coding\Learn\C&CPP\others\BuildYourOwnLisp\parsing.c", "C", 0, 0, 47, 0, 0, 6, 15, 68
"d:\Coding\Learn\C&CPP\others\InsertionSort.cpp", "C++", 0, 20, 0, 0, 0, 0, 6, 26
"d:\Coding\Learn\C&CPP\others\QuickSort.cpp", "C++", 0, 27, 0, 0, 0, 0, 4, 31
"d:\Coding\Learn\C&CPP\others\SelectionSort.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 18
"d:\Coding\Learn\C&CPP\others\TheCProgrammingLanguage\charpter1\MultiplicationTable.c", "C", 0, 0, 13, 0, 0, 0, 2, 15
"d:\Coding\Learn\C&CPP\others\TheCProgrammingLanguage\charpter1\arr.c", "C", 0, 0, 23, 0, 0, 0, 2, 25
"d:\Coding\Learn\C&CPP\others\TheCProgrammingLanguage\charpter1\const.c", "C", 0, 0, 9, 0, 0, 0, 2, 11
"d:\Coding\Learn\C&CPP\others\TheCProgrammingLanguage\charpter1\countString.c", "C", 0, 0, 8, 0, 0, 0, 1, 9
"d:\Coding\Learn\C&CPP\others\TheCProgrammingLanguage\charpter1\countWords.c", "C", 0, 0, 21, 0, 0, 0, 2, 23
"d:\Coding\Learn\C&CPP\others\TheCProgrammingLanguage\charpter1\hello.c", "C", 0, 0, 5, 0, 0, 0, 1, 6
"d:\Coding\Learn\C&CPP\others\TheCProgrammingLanguage\charpter1\output.c", "C", 0, 0, 7, 0, 0, 6, 0, 13
"d:\Coding\Learn\C&CPP\others\TheCProgrammingLanguage\charpter1\printPrecision.c", "C", 0, 0, 8, 0, 0, 0, 1, 9
"d:\Coding\Learn\C&CPP\others\darkhouse\array.c", "C", 0, 0, 20, 0, 0, 1, 3, 24
"d:\Coding\Learn\C&CPP\others\darkhouse\char.c", "C", 0, 0, 7, 0, 0, 0, 1, 8
"d:\Coding\Learn\C&CPP\others\darkhouse\examples\a.c", "C", 0, 0, 33, 0, 0, 0, 6, 39
"d:\Coding\Learn\C&CPP\others\darkhouse\examples\b.c", "C", 0, 0, 18, 0, 0, 0, 0, 18
"d:\Coding\Learn\C&CPP\others\darkhouse\examples\delStr.c", "C", 0, 0, 23, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\others\darkhouse\examples\nameLists.c", "C", 0, 0, 30, 0, 0, 0, 1, 31
"d:\Coding\Learn\C&CPP\others\darkhouse\examples\replaceStr.c", "C", 0, 0, 20, 0, 0, 5, 1, 26
"d:\Coding\Learn\C&CPP\others\darkhouse\floatNum.c", "C", 0, 0, 10, 0, 0, 0, 1, 11
"d:\Coding\Learn\C&CPP\others\darkhouse\integer.c", "C", 0, 0, 19, 0, 0, 0, 2, 21
"d:\Coding\Learn\C&CPP\others\darkhouse\randomNum.c", "C", 0, 0, 4, 0, 0, 0, 2, 6
"d:\Coding\Learn\C&CPP\others\darkhouse\typeConvert.c", "C", 0, 0, 7, 0, 0, 0, 1, 8
"d:\Coding\Learn\C&CPP\others\darkhouse\variable.c", "C", 0, 0, 10, 0, 0, 0, 4, 14
"d:\Coding\Learn\C&CPP\others\games\ball.c", "C", 0, 0, 34, 0, 0, 0, 2, 36
"d:\Coding\Learn\C&CPP\test.cpp", "C++", 0, -17, 0, 0, 0, 0, 2, -15
"d:\Coding\Learn\Java\Main.java", "Java", 20, 0, 0, 0, 0, 0, 0, 20
"d:\Coding\Learn\P1225.java", "Java", 22, 0, 0, 0, 0, 0, 0, 22
"Total", "-", 87, 2462, 430, 54, 16, 756, 247, 4052
